anime_id,mal_id,title,english_title,japanese_title,user_preferred_title,type,episodes,duration,status,source,season,season_year,studios,main_studios,genres,tags,rating,score,mean_score,scored_by,rank,popularity,popularity_rank,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis,country_of_origin,is_licensed,hashtag,cover_image_large,cover_image_color,banner_image,trailer_site,trailer_id,main_characters,main_staff,streaming_sites,is_adult,synonyms,site_url,updated_at,next_airing_episode_at,next_episode_number,collected_at,data_source
176496,58567.0,Ore dake Level Up na Ken: Season 2 - Arise from the Shadow,Solo Leveling Season 2 -Arise from the Shadow-,俺だけレベルアップな件 Season 2 -Arise from the Shadow-,Ore dake Level Up na Ken: Season 2 - Arise from the Shadow,TV,13.0,24.0,FINISHED,OTHER,WINTER 2025,2025,Aniplex;A-1 Pictures;Netmarble;D&C MEDIA;Kakao piccoma;Crunchyroll,A-1 Pictures,Action;Adventure;Fantasy,Urban Fantasy;Dungeon;Male Protagonist;Necromancy;Magic;Super Power;Cultivation;Creature Taming;Swordplay;Gore,,85.0,85.0,0,84,292350,136,292350,13662,40435,220851,1477,1683,27904,2025-01-05,2025-03-30,,,"The second season of <i>Solo Leveling</i>.<br><br> Mastering his new abilities in secret, Jin-U must battle humanity's toughest foes to save his mother.<br><br>  (Source: Crunchyroll News)",JP,True,#俺レベ #SoloLeveling,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx176496-9BDMjAZGEbq4.png,#e45093,https://s4.anilist.co/file/anilistcdn/media/anime/banner/176496-5oY4k2NRqlYs.jpg,youtube,byJ7pxxhaDY,Jin-U Seong;Jin-Ho Yu;Hae-In Cha;Yun-Ho Baek;Jong-In Choi,Chu-Gong (Original Story);Hyeon-Gun (Original Story);Seong-Rak Jang (Original Character Design);Shunsuke Nakashige (Director);Noboru Kimura (Series Composition),Twitter;Twitter;Official Site;Crunchyroll;TikTok;iQ;Bilibili TV;Instagram,False,Na Honjaman Level Up 2;나 혼자만 레벨업 2;俺だけレベルアップな件 第2期;Ore dake Level Up na Ken 2nd Season;Solo Leveling 2ª Temporada -Ergam-se das Sombras-,https://anilist.co/anime/176496,1783504068,0,0,2026-07-09T07:27:59.124461+00:00,anilist
177709,58939.0,SAKAMOTO DAYS,SAKAMOTO DAYS,SAKAMOTO DAYS,SAKAMOTO DAYS,ONA,11.0,24.0,FINISHED,MANGA,WINTER 2025,2025,TMS Entertainment;TMS Entertainment;Shueisha;TV Tokyo,TMS Entertainment,Action;Comedy,Assassins;Urban;Found Family;Konbini;Crime;Primarily Adult Cast;Super Power;Male Protagonist;Family Life;Slapstick,,76.0,76.0,0,0,209797,5,209797,4751,37229,104706,6796,10319,50747,2025-01-11,2025-03-15,,,"When Sakamoto meets Aoi, the convenience store clerk, it’s love at first sight — and just like that, he retires. <br><br> Sakamoto gets married, has a daughter, opens a mom-and-pop store in a quiet town, and completely transforms … into a plus-size man. To ensure a peaceful life with his beloved family, the legendary ex–hit man bands together with comrades to face off against the looming threat of assassins. <br><br> (Source: Netflix TUDUM) <br><br> <i>Note: The series streamed a week in advance on Netflix Japan starting with episode 2 released alongside episode 1.</i>",JP,True,#サカモトデイズ #SAKAMOTODAYS,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177709-e5Qx6RlsBgD5.png,#c9f1f1,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177709-yeZ7ciQULJRx.jpg,youtube,CdnMoPIgC5s,Tarou Sakamoto;Shin Asakura;Shaotang Lu;Aoi Sakamoto;Heisuke Mashimo,Yuuto  Suzuki (Original Creator);Masaki Watanabe (Director);Akihiro Saitou (Assistant Director);Taku Kishimoto (Series Composition);You Moriyama (Character Design),Twitter;Official Site;Netflix,False,サカモト デイズ;أيام ساكاموتو;사카모토 데이즈;坂本日常;Дни Сакамото,https://anilist.co/anime/177709,1783555673,0,0,2026-07-09T07:27:59.124567+00:00,anilist
176301,58514.0,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,薬屋のひとりごと 第2期,Kusuriya no Hitorigoto 2nd Season,TV,24.0,24.0,FINISHED,LIGHT_NOVEL,WINTER 2025,2025,Toho;TOHO animation STUDIO;OLM;Nippon Television Network;Imagica Infos;OLM;Dentsu;Shogakukan;Square Enix,TOHO animation STUDIO;OLM,Drama;Mystery,Female Protagonist;Medicine;Royal Affairs;Detective;Politics;Historical;Ancient China;Foreign;Work;Conspiracy,,88.0,88.0,0,17,190535,270,190535,9816,33908,110948,3626,1216,40837,2025-01-10,2025-07-04,,,"Using her wit and vast knowledge of medicines and poisons alike, Maomao played a pivotal role in solving a series of mysteries and conspiracies that plagued the imperial court. Having recently come to terms with the secrets of her parents, she returns to fulfill her normal duties on behalf of the emperor's highest-ranking consorts. Maomao also works alongside the eunuch Jinshi to better the consorts' many ladies-in-waiting, including helping them learn to read. <br><br> However, with the arrival of a merchant caravan comes a new wave of intrigue. A pattern of strange coincidences involving the visitors and their wares unsettles Maomao, driving her to investigate the puzzling circumstances behind the convoy. As dangers from both outside and within threaten the balance between the imperial concubines, Maomao continues to utilize her cunning and medical expertise to keep the women safe from harm. <br><br> (Source: MAL Rewrite)",JP,True,#薬屋のひとりごと #薬屋２期,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx176301-TIGmldLffQGX.jpg,#e4bb50,https://s4.anilist.co/file/anilistcdn/media/anime/banner/176301-GkuTF1YTT6b2.jpg,youtube,3BYutu3Pf_0,Maomao;Jinshi;Rouran;Gaoshun;Gyokuyou,Natsu Hyuuga (Original Story);Touko Shino (Original Character Design);Norihiro Naganuma (Chief Director);Akinori Fudesaka (Director);Wataru Nakagawa (Assistant Director),Official Site;Twitter;Crunchyroll;TikTok;Netflix,False,Die Tagebücher der Apothekerin Season 2;Diários de uma Apotecária 2ª Temporada;Монолог фармацевта 2;Les Carnets de l'apothicaire Saison 2;Los diarios de la boticaria temporada 2,https://anilist.co/anime/176301,1783555654,0,0,2026-07-09T07:27:59.124649+00:00,anilist
172019,57592.0,Dr. STONE: SCIENCE FUTURE,Dr. STONE SCIENCE FUTURE,Dr.STONE SCIENCE FUTURE,Dr. STONE: SCIENCE FUTURE,TV,12.0,24.0,FINISHED,MANGA,WINTER 2025,2025,Toho;TMS Entertainment;TMS Entertainment;Shueisha,TMS Entertainment,Action;Adventure;Comedy;Sci-Fi,Post-Apocalyptic;Educational;Male Protagonist;Survival;Ensemble Cast;Ships;Foreign;Lost Civilization;Travel;Outdoor Activities,,82.0,82.0,0,167,109838,0,109838,2395,12494,69737,1374,712,25521,2025-01-09,2025-03-27,,,"The first cour of the fourth season of <i>Dr.STONE</i>.<br><br>  Senkuu and the Kingdom of Science revive Tsukasa and build a spaceship to reach 'Why Man' on the Moon!<br><br> (Source: Crunchyroll News, edited)",JP,True,#DrSTONE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx172019-3cfZbrYBmV23.jpg,,https://s4.anilist.co/file/anilistcdn/media/anime/banner/172019-qchFwdk8OM4m.jpg,youtube,pkMgTN4Joi4,Senkuu Ishigami;Kohaku;Chrome;Gen Asagiri;Ryuusui Nanami,Riichirou Inagaki (Original Story);Boichi (Original Character Design);Shuuhei Matsushita (Director);Kurasumi Sunayama (Series Composition);Yuuko Iwasa (Character Design),Official Site;Instagram;Twitter;Crunchyroll;Instagram;Facebook;Twitter;Bilibili TV;iQ;YouTube;TikTok,False,Dr.STONE Season 4;Dr.STONE 第4期;ドクターストーン,https://anilist.co/anime/172019,1783555645,0,0,2026-07-09T07:27:59.124705+00:00,anilist
172258,57616.0,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo 2nd Season,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You Season 2",君のことが大大大大大好きな100人の彼女 第2期,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo 2nd Season,TV,12.0,24.0,FINISHED,MANGA,WINTER 2025,2025,Bibury Animation Studios;Bandai Namco Filmworks;Shueisha;ANICI;Bandai Namco Music Live;Bushiroad;Movic;TOKYO MX,Bibury Animation Studios,Comedy;Ecchi;Romance,Female Harem;Polyamorous;Parody;Surreal Comedy;Male Protagonist;Ensemble Cast;Primarily Female Cast;Primarily Teen Cast;Slapstick;Meta,,78.0,79.0,0,427,72903,0,72903,2062,9908,39445,1530,1973,20047,2025-01-12,2025-03-30,,,"The second season of <i>Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo.</i><br><br> Rentaro meets new soulmates, balancing comedic chaos and heartfelt moments as his relationships deepen. <br><br> (Source: Crunchyroll News)",JP,True,#100カノ #アニメ100カノ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx172258-n23TSWk54aXv.jpg,#e44386,https://s4.anilist.co/file/anilistcdn/media/anime/banner/172258-w0t3aHFqywwp.jpg,youtube,PoZVtpW5vjQ,Rentarou Aijou;Hakari Hanazono;Karane Inda;Shizuka Yoshimoto;Nano Eiai,Rikito Nakamura (Original Story);Yukiko Nozawa (Original Character Design);Hikaru Satou (Director);Takashi Aoshima (Series Composition);Akane Yano (Character Design),Official Site;Twitter;TikTok;Crunchyroll;YouTube;Bilibili TV,False,100 Kanojo 2;100Kano 2;Hyakkano 2,https://anilist.co/anime/172258,1783555645,0,0,2026-07-09T07:27:59.124748+00:00,anilist
178462,59135.0,Class no Daikirai na Joshi to Kekkon Suru Koto ni Natta.,I'm Getting Married to a Girl I Hate in My Class,クラスの大嫌いな女子と結婚することになった。,Class no Daikirai na Joshi to Kekkon Suru Koto ni Natta.,TV,12.0,24.0,FINISHED,LIGHT_NOVEL,WINTER 2025,2025,Aniplex;KADOKAWA;Studio Gokumi;AXsiZ;TOKYO MX;BS11;Movic;EGG FIRM,Studio Gokumi;AXsiZ,Comedy;Romance,Tsundere;Arranged Marriage;Marriage;Love Triangle;Cohabitation;Primarily Teen Cast;Chibi;Family Life;School;Male Protagonist,,67.0,67.0,0,0,72233,0,72233,1385,11169,36553,1548,4259,18704,2025-01-03,2025-03-21,,,"High school student Saito Houjou is set to inherit his grandfather’s major corporation. First, he must marry Akane Sakuramori, the girl he despises the most, and who hates him just as much. The two are determined to keep their unexpected marriage a secret from their classmates. But as they begin their newlywed life, the distance between them starts to close.<br><br>  (Source: Crunchyroll, edited)",JP,True,  #クラコン,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178462-YW6BgSGGP4az.jpg,#e4935d,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178462-Ez3ZwJx9szLY.jpg,youtube,ss7htgZZw8Y,Akane Sakuramori;Saito Houjou;Himari Ishikura;Shisei Houjou;Tenryuu Houjou,Seiju Amano (Original Story);Nanami Narumi (Original Character Design);Mosskonbu (Original Character Design);Hiroyuki Ooshima (Director);Tatsuya Takahashi (Series Composition),Official Site;Twitter;Crunchyroll;Bilibili TV,False,Kurakon;クラ婚;クラコン;Cla-Kon,https://anilist.co/anime/178462,1783503892,0,0,2026-07-09T07:27:59.124809+00:00,anilist
176273,58502.0,Zenshuu.,ZENSHU,全修。,Zenshuu.,TV,12.0,24.0,FINISHED,ORIGINAL,WINTER 2025,2025,MAPPA;MAPPA;Twin Engine;TV Tokyo;Movic;Bushiroad;Rakuten,MAPPA,Action;Fantasy;Romance,Isekai;Female Protagonist;Super Power;Drawing;Magic;Primarily Adult Cast;Ensemble Cast;Meta;Gods;Heterosexual,,73.0,74.0,0,0,70645,0,70645,1585,9552,28701,1854,5247,25291,2025-01-05,2025-03-23,,,"After graduating from high school, Natsuko Hirose starts her career as an animator. Her talent quickly flourishes, and she makes her debut as a director in no time. Her first anime becomes a massive hit, sparking a social phenomenon and earning her recognition as an up-and-coming genius director. Her next project is set to be a romantic comedy movie themed around first love! However, having never been in love herself, Natsuko struggles to understand the concept of first love, and as a result, she’s unable to create the storyboard, causing the movie production to come to a standstill.<br> <br> (Source: MAPPA)",JP,True,#全修 #ZENSHU,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx176273-raxxcgkslf4Q.jpg,#f1e41a,https://s4.anilist.co/file/anilistcdn/media/anime/banner/176273-PVCbQQvFiu5O.jpg,youtube,tt_ci57IszQ,Natsuko Hirose;Luke Braveheart;Unio;Memmeln;QJ,Mitsue Yamazaki (Original Creator);Kimiko Ueno (Original Creator);Yoshiteru Tsujino (Original Character Design);Mitsue Yamazaki (Director);Sumie Noro (Assistant Director),Official Site;Twitter;Crunchyroll,False,เซ็นชู,https://anilist.co/anime/176273,1783555654,0,0,2026-07-09T07:27:59.124858+00:00,anilist
167143,55997.0,"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu","I May Be a Guild Receptionist, but I’ll Solo Any Boss to Clock Out on Time",ギルドの受付嬢ですが、残業は嫌なのでボスをソロ討伐しようと思います,"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",TV,12.0,24.0,FINISHED,LIGHT_NOVEL,WINTER 2025,2025,CloverWorks;Aniplex;Sakura Create;KADOKAWA;BS11;Movic;Good Smile Company;CloverWorks,CloverWorks;Sakura Create,Action;Adventure;Comedy;Fantasy,Work;Office Lady;Female Protagonist;Primarily Adult Cast;Dungeon;Super Power;Medieval;Swordplay;Magic;Tsundere,,66.0,66.0,0,0,63249,0,63249,918,11081,29687,1762,5137,15582,2025-01-11,2025-03-29,,,"Alina thought she had found the perfect job as a guild receptionist. It’s stable, safe, and has a super cute uniform. But this dream gig turns into an overtime nightmare whenever adventurers get stuck clearing a dungeon. Tired of the long nights, Alina starts taking down the bosses herself! She even earns the name Executioner for her impressive skills. Can she keep her identity a secret? <br><br> (Source: Crunchyroll)",JP,True,#ギルます,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx167143-iY2ho0I0KnYF.jpg,#fec950,https://s4.anilist.co/file/anilistcdn/media/anime/banner/167143-YGnuSeaD90mT.jpg,youtube,bVrzN-r4MKA,Alina Clover;Jade Scrade;Lululee Ashford;Lowe Losblender;Laila,Mato Kousaka (Original Story);Gaou (Original Character Design);Tsuyoshi Nagasawa (Director);Misuzu Chiba (Series Composition);Shinichi Machida (Character Design),Twitter;Official Site;Crunchyroll;Bilibili TV,False,Uketsukejou Saikyou;Girumasu;ギルます;雖然是公會的櫃檯小姐，但因為不想加班所以打算獨自討伐迷宮頭目,https://anilist.co/anime/167143,1783555636,0,0,2026-07-09T07:27:59.124886+00:00,anilist
175443,58271.0,Honey Lemon Soda,Honey Lemon Soda,ハニーレモンソーダ,Honey Lemon Soda,TV,12.0,23.0,FINISHED,MANGA,WINTER 2025,2025,J.C.STAFF;TMS Entertainment;Crunchyroll;Fuji TV;J.C.STAFF;Studio Pierrot;BS Fuji,J.C.STAFF,Romance,Heterosexual;Rehabilitation;Shoujo;Coming of Age;Bullying;School;Female Protagonist;Urban;Primarily Teen Cast;Kuudere,,70.0,71.0,0,0,59577,0,59577,1154,7069,23966,1474,4469,22599,2025-01-09,2025-03-27,,,"In middle school, Uka Ishimori was nicknamed “Stone.” <br><br> In order to change herself, she enrolled in Hachimitsu High School, known for its culture of student liberty. Seated in at the desk next to her in the same class is Kai Miura, a coolly freewheeling boy with lemon-colored hair. In truth, Uka met Kai once in middle school, and decided to attend Hachimitsu based on a single word he said to her.To Uka, the popular Kai is a distant presence. <br><br> Yet somehow, Kai starts to look after Uka. With Kai encouraging her, Uka gradually begins to fit in with her classmates… <br><br> But...Uka’s world is gradually changing with Kai’s presence. — <br><br> Now, I am in the center of the endlessly spreading light. <br><br> (Source: Crunchyroll)",JP,True,#ハニレモアニメ,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175443-QpmlCJt47Rp9.jpg,#e4d643,https://s4.anilist.co/file/anilistcdn/media/anime/banner/175443-g0uKvQh9uFe1.jpg,youtube,D1Uck5jSeXE,Uka Ishimori;Kai Miura;Ayumi Endou;Satoru Seto;Tomoya Takamine,Mayu Murata (Original Creator);Hiroshi Nishikiori (Director);Akiko Waba (Series Composition);Manami Tanaka (Character Design);Ryouko Itaya (Art Director),Official Site;Twitter;TikTok;Crunchyroll;Bilibili TV;iQ,False,,https://anilist.co/anime/175443,1783504153,0,0,2026-07-09T07:27:59.124913+00:00,anilist
178548,59144.0,Fuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru,"Even Given the Worthless “Appraiser” Class, I’m Actually the Strongest",不遇職【鑑定士】が実は最強だった～奈落で鍛えた最強の【神眼】で無双する～,Fuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru,TV,12.0,24.0,FINISHED,LIGHT_NOVEL,WINTER 2025,2025,Okuruto Noboru;Sotsu;Kodansha;Movic;Crunchyroll;BS11;TOKYO MX;JR Nishi Nihon Communications;Exa International,Okuruto Noboru,Action;Adventure;Comedy;Drama;Fantasy;Romance,Male Protagonist;Female Harem;Magic;Mixed Gender Harem;Primarily Female Cast;Dungeon;Class Struggle;LGBTQ+ Themes;Demons;Gore,,63.0,63.0,0,0,57788,0,57788,964,11266,30021,1091,4472,10938,2025-01-09,2025-03-27,,,"Ein has been saddled with the job of ""Appraiser,"" the weakest and least fortunate of all the jobs one can be born with, as the only power it grants is the ability to appraise things.  Treated cruelly by all and reduced to a litter collector by his peers, Ein has grown to hate himself and lives his days in spineless self-abasement. But when he meets Yuuri, the spirit of the World Tree, and her protector, Ursula the sage, Ein's fate takes a drastic turn.<br> <br> With the gift of a Spirit Eye from Yuuri and the help of Ursula in learning how to use it, Ein grows stronger and stronger, until he's ready to take Yuuri on her long-desired journey to meet her World Tree's sisters. He goes on to overcome all sorts of challenges, armed with his natural kindness and his new-found courage. <br><br> (Source: Crunchyroll)",JP,True,#ふぐ鑑 #不遇職 #鑑定士,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178548-4QkzBuJAx8w7.jpg,#e4c95d,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178548-dKtmhvOKdr6t.jpg,youtube,3ZDbVRlCI4o,Ein;Pina;Yuuri;Ursula;Kurohime,Ibarakino (Original Story);Yuu Hitaki (Original Character Design);Kenta Oonishi (Director);Tatsuya Sasaki (Assistant Director);Touko Machida (Series Composition),Twitter;Official Site;Crunchyroll;Bilibili TV;YouTube,False,FuguKan;ふぐ鑑;Đen đủi khi có nghề [Giám định sĩ] nhưng tôi lại là người mạnh nhất,https://anilist.co/anime/178548,1783555675,0,0,2026-07-09T07:27:59.124948+00:00,anilist
